SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
MEDFIELD HEIGHTS ELEMENTARY,Maryland,MD ,Medfield Heights Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,393,40,20,151,154,2,24,393,2,18.28,21.50
MELWOOD ELEMENTARY,Maryland,MD ,Melwood Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,454,3,125,296,19,–,4,454,7,14.06,32.30
MERGENTHALER VOCATIONAL-TECHNICAL HIGH,Maryland,MD ,Mergenthaler Vocational-Technical High,Baltimore City Public Schools,3-Career and Technical School,11-City: Large,1706,5,81,1571,43,1,3,1706,2,16.73,102.00
MIDDLE RIVER MIDDLE,Maryland,MD ,Middle River Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,935,30,110,431,306,1,55,935,2,17.48,53.50
MIDDLEBOROUGH ELEMENTARY,Maryland,MD ,Middleborough Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,351,5,9,77,241,–,17,351,2,15.53,22.60
MIDDLESEX ELEMENTARY,Maryland,MD ,Middlesex Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,414,10,71,116,176,–,39,414,2,13.31,31.10
MIDDLETON VALLEY ACADEMY,Maryland,MD ,Turning Point Academy Public Charter,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,593,7,46,528,8,2,1,593,1,14.61,40.60
MIDDLETOWN ELEMENTARY,Maryland,MD ,Middletown Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,467,10,39,13,383,–,22,467,–,16.91,27.61
MIDDLETOWN HIGH,Maryland,MD ,Middletown High,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,1135,29,62,22,981,–,39,1135,2,19.74,57.50
MIDDLETOWN MIDDLE,Maryland,MD ,Middletown Middle,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,782,12,57,19,658,1,31,782,4,17.77,44.00
MIDDLETOWN PRIMARY,Maryland,MD ,Middletown Primary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,496,7,42,16,392,–,38,496,1,16.21,30.59
MIDTOWN ACADEMY,Maryland,MD ,Midtown Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,197,5,10,157,19,–,6,197,–,15.15,13.00
MILBROOK ELEMENTARY,Maryland,MD ,Milbrook Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,410,26,84,257,19,–,20,410,4,15.47,26.50
MILFORD MILL ACADEMY,Maryland,MD ,Milford Mill Academy,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1233,21,53,1115,12,2,29,1233,1,14.51,85.00
MILL CREEK MIDDLE,Maryland,MD ,Mill Creek Middle,Calvert County Public Schools,1-Regular school,23-Suburb: Small,521,8,40,72,356,1,43,521,1,16.81,31.00
MILL CREEK TOWNE ELEMENTARY,Maryland,MD ,Mill Creek Towne Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,464,53,209,81,88,1,31,464,1,13.65,34.00
MILLERSVILLE ELEMENTARY,Maryland,MD ,Millersville Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,337,7,25,25,248,1,31,337,–,13.22,25.50
MILTON M. SOMERS MIDDLE SCHOOL,Maryland,MD ,Milton M. Somers Middle School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,1031,36,75,389,446,2,80,1031,3,17.18,60.00
MONARCH ACADEMY,Maryland,MD ,Monarch Academy,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,678,23,67,228,295,–,64,678,1,14.55,46.60
MONARCH ACADEMY ANNAPOLIS ES,MARYLAND,MD ,Monarch Academy Annapolis ES,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,656,8,167,312,139,–,29,656,1,14.64,44.80
MONARCH ACADEMY PUBLIC CHARTER SCHOOL,Maryland,MD ,Monarch Academy Public Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,985,1,22,949,6,–,7,985,–,18.24,54.00
MONARCH GLOBAL ACADEMY PCS LAUREL CAMPUS,MARYLAND,MD ,Monarch Global Academy PCS Laurel Campus,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,826,45,172,448,114,1,43,826,3,14.65,56.40
MONOCACY ELEMENTARY,Maryland,MD ,Monocacy Elementary,Frederick County Public Schools,1-Regular school,13-City: Small,619,17,184,185,180,8,44,619,1,14.98,41.31
MONOCACY ELEMENTARY,Maryland,MD ,Monocacy Elementary,Montgomery County Public Schools,1-Regular school,42-Rural: Distant,147,7,15,6,107,–,12,147,–,14.41,10.20
MONOCACY MIDDLE,Maryland,MD ,Monocacy Middle,Frederick County Public Schools,1-Regular school,13-City: Small,886,43,321,205,267,6,43,886,1,13.85,63.98
MONOCACY VALLEY MONTESSORI,Maryland,MD ,Monocacy Valley Montessori School,Frederick County Public Schools,1-Regular school,13-City: Small,299,22,28,36,193,1,18,299,1,18.46,16.20
MONTEBELLO ELEMENTARY/MIDDLE,Maryland,MD ,Montebello Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,563,1,11,538,8,–,3,563,2,19.41,29.00
MONTGOMERY BLAIR HIGH,Maryland,MD ,Montgomery Blair High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,3196,459,1080,757,759,3,138,3196,–,17.00,187.96
MONTGOMERY KNOLLS ELEMENTARY,Maryland,MD ,Montgomery Knolls Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,489,17,228,130,84,–,29,489,1,11.16,43.80
MONTGOMERY VILLAGE MIDDLE,Maryland,MD ,Montgomery Village Middle School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,743,59,403,212,48,–,21,743,–,13.51,55.00
MONTPELIER ELEMENTARY,Maryland,MD ,Montpelier Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,560,16,145,353,10,–,35,560,1,15.60,35.90
MORAVIA PARK ELEMENTARY,Maryland,MD ,Moravia Park Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,761,18,17,677,21,22,2,761,4,15.22,50.00
MORRELL PARK ELEMENTARY/MIDDLE,Maryland,MD ,Morrell Park Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,450,23,84,117,200,1,19,450,6,18.00,25.00
MOUNT AIRY ELEMENTARY,Maryland,MD ,Mount Airy Elementary,Carroll County Public Schools,1-Regular school,21-Suburb: Large,465,9,49,15,376,1,12,465,3,15.60,29.80
MOUNT AIRY MIDDLE,Maryland,MD ,Mount Airy Middle,Carroll County Public Schools,1-Regular school,21-Suburb: Large,697,21,68,16,573,1,15,697,3,16.02,43.50
MOUNT HARMONY ELEMENTARY,Maryland,MD ,Mount Harmony Elementary,Calvert County Public Schools,1-Regular school,31-Town: Fringe,608,22,35,60,444,–,45,608,2,17.73,34.30
MOUNT HEBRON HIGH,Maryland,MD ,Mount Hebron High,Howard County Public Schools,1-Regular school,21-Suburb: Large,1627,494,137,232,684,2,76,1627,2,15.21,107.00
MOUNT ROYAL ELEMENTARY/MIDDLE,Maryland,MD ,Mount Royal Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,761,7,28,657,65,–,3,761,1,18.56,41.00
MOUNT SAVAGE MIDDLE,Maryland,MD ,Mount Savage Middle,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,388,2,8,7,353,1,17,388,–,13.24,29.30
MOUNT VIEW MIDDLE,Maryland,MD ,Mount View Middle,Howard County Public Schools,1-Regular school,41-Rural: Fringe,837,298,32,45,413,–,47,837,2,16.48,50.80
MOUNTAIN RIDGE HIGH SCHOOL,Maryland,MD ,Mountain Ridge High School,Allegany County Public Schools,1-Regular school,23-Suburb: Small,792,8,8,14,737,1,22,792,2,16.33,48.50
MT HOPE/NANJEMOY ELEMENTARY SCHOOL,Maryland,MD ,Mt Hope/Nanjemoy Elementary School,Charles County Public Schools,1-Regular school,42-Rural: Distant,278,–,6,71,179,–,22,278,–,12.49,22.25
MT RAINIER ELEMENTARY,Maryland,MD ,Mt Rainier Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,333,8,210,83,28,–,4,333,–,12.45,26.74
MT. SAVAGE ELEMENTARY,Maryland,MD ,Mt. Savage Elementary,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,186,–,1,–,182,–,3,186,–,13.19,14.10
MURRAY HILL MIDDLE,Maryland,MD ,Murray Hill Middle,Howard County Public Schools,1-Regular school,21-Suburb: Large,717,115,151,322,95,–,34,717,–,13.66,52.50
MUTUAL ELEMENTARY,Maryland,MD ,Mutual Elementary,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,413,2,21,41,311,–,38,413,–,14.34,28.80
MYERSVILLE ELEMENTARY,Maryland,MD ,Myersville Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,385,2,22,8,340,–,12,385,1,18.33,21.00
N.A.C.A. FREEDOM AND DEMOCRACY ACADEMY II,Maryland,MD ,N.A.C.A. Freedom and Democracy Academy II,Baltimore City Public Schools,1-Regular school,11-City: Large,333,–,4,325,3,–,1,333,–,16.65,20.00
NANTUCKET ELEMENTARY,Maryland,MD ,Nantucket Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,783,107,57,215,364,2,36,783,2,17.17,45.60
NATIONAL ACADEMY FOUNDATION,Maryland,MD ,National Academy Foundation,Baltimore City Public Schools,1-Regular school,11-City: Large,796,5,203,571,15,2,–,796,–,15.16,52.50
NEELSVILLE MIDDLE,Maryland,MD ,Neelsville Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,944,83,468,324,41,1,24,944,3,14.30,66.00
NEW ERA ACADEMY,Maryland,MD ,New Era Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,288,1,53,220,14,–,–,288,–,15.16,19.00
NEW HAMPSHIRE ESTATES ELEM,Maryland,MD ,New Hampshire Estates Elem,Montgomery County Public Schools,1-Regular school,13-City: Small,442,15,333,75,14,–,5,442,–,10.68,41.40
NEW MARKET ELEMENTARY,Maryland,MD ,New Market Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,693,24,42,15,576,3,30,693,3,19.04,36.40
NEW MARKET MIDDLE,Maryland,MD ,New Market Middle,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,552,9,31,11,480,2,19,552,–,15.77,35.00
NEW MIDWAY/WOODSBORO ELEMENTARY,Maryland,MD ,New Midway/Woodsboro Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,300,–,20,5,259,–,16,300,–,17.74,16.91
NEW SONG ACADEMY,Maryland,MD ,New Song Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,166,–,2,162,2,–,–,166,–,11.45,14.50
NEW TOWN ELEMENTARY,Maryland,MD ,New Town Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,779,39,27,615,49,1,40,779,8,16.20,48.10
NEW TOWN HIGH,Maryland,MD ,New Town High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1102,14,24,997,30,1,34,1102,2,15.63,70.50
NEWPORT MILL MIDDLE,Maryland,MD ,Newport Mill Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,675,56,355,103,118,–,37,675,6,13.08,51.60
NICHOLAS OREM MIDDLE,Maryland,MD ,Nicholas Orem Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1011,7,799,191,10,1,1,1011,2,14.44,70.00
NORRISVILLE ELEMENTARY,Maryland,MD ,Norrisville Elementary,Harford County Public Schools,1-Regular school,42-Rural: Distant,212,1,8,–,198,1,3,212,1,12.81,16.55
NORTH BEND ELEMENTARY,Maryland,MD ,North Bend Elementary,Harford County Public Schools,1-Regular school,41-Rural: Fringe,380,5,12,5,340,–,18,380,–,15.35,24.75
NORTH BEND ELEMENTARY/MIDDLE,Maryland,MD ,North Bend Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,463,–,20,432,5,1,2,463,3,16.84,27.50
NORTH BETHESDA MIDDLE,Maryland,MD ,North Bethesda Middle,Montgomery County Public Schools,1-Regular school,13-City: Small,1163,137,139,111,677,1,93,1163,5,16.86,69.00
NORTH CAROLINE HIGH SCHOOL,Maryland,MD ,North Caroline High School,Caroline County Public Schools,1-Regular school,41-Rural: Fringe,1121,8,183,116,730,3,74,1121,7,15.36,73.00
NORTH CARROLL MIDDLE,Maryland,MD ,North Carroll Middle,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,631,19,27,10,563,1,10,631,1,16.48,38.30
NORTH CHEVY CHASE ELEMENTARY,Maryland,MD ,North Chevy Chase Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,261,17,33,52,144,–,15,261,–,16.01,16.30
NORTH COUNTY HIGH,Maryland,MD ,North County High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2289,110,348,599,1064,3,158,2289,7,17.35,131.90
NORTH DORCHESTER HIGH SCHOOL,Maryland,MD ,North Dorchester High School,Dorchester County Public Schools,1-Regular school,42-Rural: Distant,496,4,34,108,319,–,31,496,–,13.35,37.15
NORTH DORCHESTER MIDDLE SCHOOL,Maryland,MD ,North Dorchester Middle School,Dorchester County Public Schools,1-Regular school,42-Rural: Distant,484,6,32,115,298,–,33,484,–,15.94,30.36
NORTH EAST ELEMENTARY,Maryland,MD ,North East Elementary,Cecil County Public Schools,1-Regular school,21-Suburb: Large,548,2,37,53,414,1,40,548,1,13.77,39.80
NORTH EAST HIGH,Maryland,MD ,North East High,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,1029,14,51,68,849,–,43,1029,4,13.54,76.00
NORTH EAST MIDDLE,Maryland,MD ,North East Middle,Cecil County Public Schools,1-Regular school,21-Suburb: Large,773,7,44,58,628,1,33,773,2,13.10,59.00
NORTH FORESTVILLE ELEMENTARY,Maryland,MD ,North Forestville Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,374,4,90,270,4,2,2,374,2,11.51,32.50
NORTH FREDERICK ELEMENTARY,Maryland,MD ,North Frederick Elementary,Frederick County Public Schools,1-Regular school,13-City: Small,668,39,166,122,270,–,69,668,2,14.88,44.90
NORTH GLEN ELEMENTARY,Maryland,MD ,North Glen Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,278,9,67,96,83,–,22,278,1,13.37,20.80
NORTH HAGERSTOWN HIGH,Maryland,MD ,North Hagerstown High,Washingtion County Public Schools,1-Regular school,13-City: Small,1338,50,170,280,722,2,110,1338,4,17.84,75.00
NORTH HARFORD ELEMENTARY,Maryland,MD ,North Harford Elementary,Harford County Public Schools,1-Regular school,42-Rural: Distant,344,–,5,1,321,–,17,344,–,13.96,24.65
NORTH HARFORD HIGH,Maryland,MD ,North Harford High,Harford County Public Schools,1-Regular school,42-Rural: Distant,1212,18,26,15,1111,1,39,1212,2,15.20,79.75
NORTH HARFORD MIDDLE,Maryland,MD ,North Harford Middle,Harford County Public Schools,1-Regular school,42-Rural: Distant,895,8,21,9,828,2,26,895,1,13.11,68.26
NORTH POINT HIGH SCHOOL,Maryland,MD ,North Point High School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,1717,109,113,1028,325,3,131,1717,8,13.71,125.20
NORTH SALISBURY ELEMENTARY,Maryland,MD ,North Salisbury Elementary,Wicomico County Public Schools,1-Regular school,13-City: Small,472,36,60,166,170,1,36,472,3,13.49,35.00
NORTHEAST ELEMENTARY,Maryland,MD ,Northeast Elementary,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,323,–,1,9,280,–,31,323,2,19.94,16.20
NORTHEAST HIGH,Maryland,MD ,Northeast High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1375,31,109,128,1029,1,69,1375,8,17.38,79.10
NORTHEAST MIDDLE,Maryland,MD ,George Fox Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,863,18,77,79,638,–,43,863,8,14.84,58.14
NORTHERN GARRETT HIGH SCHOOL,Maryland,MD ,Northern Garrett High School,Garrett County Public Schools,1-Regular school,42-Rural: Distant,439,1,8,2,422,–,6,439,–,11.97,36.69
NORTHERN HIGH,Maryland,MD ,Northern High,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,1461,28,98,148,1092,1,94,1461,–,18.26,80.00
NORTHERN MIDDLE,Maryland,MD ,Northern Middle,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,675,19,27,61,512,1,54,675,1,19.23,35.10
NORTHERN MIDDLE,Maryland,MD ,Northern Middle,Washingtion County Public Schools,1-Regular school,13-City: Small,730,16,97,182,352,3,80,730,–,15.56,46.92
NORTHERN MIDDLE SCHOOL,Maryland,MD ,Northern Middle School,Garrett County Public Schools,1-Regular school,42-Rural: Distant,349,1,7,–,332,–,9,349,–,11.58,30.14
NORTHFIELD ELEMENTARY,Maryland,MD ,Northfield Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,747,203,46,72,354,1,67,747,4,15.56,48.00
NORTHVIEW ELEMENTARY,Maryland,MD ,Northview Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,661,31,60,479,53,4,32,661,2,16.12,41.00
NORTHWEST ACADEMY OF HEALTH SCIENCES,Maryland,MD ,Northwest Academy of Health Sciences,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,819,19,41,722,21,3,12,819,1,16.65,49.20
NORTHWEST HIGH,Maryland,MD ,Northwest High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,2586,546,561,665,695,1,115,2586,3,17.43,148.40
NORTHWEST MIDDLE,Maryland,MD ,Northwest Middle,Carroll County Public Schools,1-Regular school,31-Town: Fringe,689,5,37,25,583,1,36,689,2,15.08,45.70
NORTHWESTERN ELEMENTARY,Maryland,MD ,Northwestern Elementary,Wicomico County Public Schools,1-Regular school,41-Rural: Fringe,318,6,5,35,235,–,34,318,3,17.67,18.00
NORTHWESTERN EVENING/SATURDAY HIGH,Maryland,MD ,Northwestern Evening/Saturday High,Prince George's County Public Schools,4-Alternative Education School,21-Suburb: Large,276,3,226,32,10,–,4,276,1,138.00,2.00
NORTHWESTERN HIGH,Maryland,MD ,Northwestern High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,2315,32,1580,621,53,3,21,2315,5,15.33,151.00
NORTHWOOD APPOLD COMMUNITY ACADEMY,Maryland,MD ,Northwood Appold Community Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,162,–,–,162,–,–,–,162,–,14.09,11.50
NORTHWOOD ELEMENTARY,Maryland,MD ,Northwood Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,624,2,14,591,11,3,3,624,–,18.35,34.00
NORTHWOOD HIGH,Maryland,MD ,Northwood High School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1732,91,919,440,236,–,44,1732,2,14.46,119.80
NORWOOD ELEMENTARY,Maryland,MD ,Norwood Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,488,42,137,46,227,–,33,488,3,16.32,29.90
OAK HILL ELEMENTARY,Maryland,MD ,Oak Hill Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,684,37,37,25,544,1,38,684,2,17.40,39.30
OAK VIEW ELEMENTARY,Maryland,MD ,Oak View Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,430,16,281,65,60,–,8,430,–,13.56,31.70
OAKDALE ELEMENTARY,Maryland,MD ,Oakdale Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,679,61,56,71,459,2,26,679,4,19.25,35.27
OAKDALE HIGH,Maryland,MD ,Oakdale High,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,1255,55,105,75,955,–,62,1255,3,19.76,63.52
OAKDALE MIDDLE,Maryland,MD ,Oakdale Middle,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,769,48,66,29,582,1,39,769,4,19.72,39.00
OAKLAND MILLS HIGH,Maryland,MD ,Oakland Mills High,Howard County Public Schools,1-Regular school,13-City: Small,1216,88,253,540,240,1,94,1216,–,12.72,95.60
OAKLAND MILLS MIDDLE,Maryland,MD ,Oakland Mills Middle,Howard County Public Schools,1-Regular school,13-City: Small,518,29,108,194,137,–,50,518,–,11.16,46.40
OAKLAND TERRACE ELEMENTARY,Maryland,MD ,Oakland Terrace Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,490,27,164,67,179,–,52,490,1,12.53,39.10
OAKLANDS ELEMENTARY,Maryland,MD ,Oaklands Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,419,13,198,193,13,–,2,419,–,14.60,28.70
OAKLEIGH ELEMENTARY,Maryland,MD ,Oakleigh Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,581,40,73,302,123,–,40,581,3,15.13,38.40
OAKVILLE ELEMENTARY,Maryland,MD ,Oakville Elementary,St. Mary's County Public Schools,1-Regular school,42-Rural: Distant,268,1,6,24,215,–,22,268,–,15.72,17.05
OAKWOOD ELEMENTARY,Maryland,MD ,Oakwood Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,319,30,63,64,141,1,18,319,2,13.29,24.00
OCEAN CITY ELEMENTARY,Maryland,MD ,Ocean City Elementary,Worcester County Public Schools,1-Regular school,32-Town: Distant,600,12,76,13,458,–,41,600,–,12.77,47.00
ODENTON ELEMENTARY,Maryland,MD ,Odenton Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,488,24,74,131,188,2,68,488,1,14.44,33.80
ODESSA SHANNON MIDDLE,Maryland,MD ,Col. E. Brooke Lee Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,760,59,458,195,32,1,14,760,1,13.57,56.00
OKLAHOMA ROAD MIDDLE,Maryland,MD ,Oklahoma Road Middle,Carroll County Public Schools,1-Regular school,23-Suburb: Small,742,35,29,39,609,3,27,742,–,16.56,44.80
OLD FORGE ELEMENTARY,Maryland,MD ,Old Forge Elementary,Washingtion County Public Schools,1-Regular school,41-Rural: Fringe,374,2,10,15,332,–,15,374,–,17.81,21.00
OLD MILL HIGH,Maryland,MD ,Old Mill High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2204,105,284,768,901,12,130,2204,4,16.50,133.60
